17,2017/12,https://speakerdeck.com/daisukeinoue/gbdaitokai-2017,登壇,合同勉強会 in 大都会岡山 -2017 Winter-
16,2017/12,https://speakerdeck.com/daisukeinoue/hatena-mackerel-cs,登壇,GMO HosCon #14
15,2017/10,https://speakerdeck.com/daisukeinoue/mackerel-with-cre,登壇,Mackerel DAY 
14,2017/08,https://www.amazon.co.jp/dp/4774192139,共著,Mackerel サーバ監視[実践]入門
13,2017/06,https://blog.a-know.me/entry/2017/06/06/004203,登壇,Customer Success Night #3
12,2016/12,https://speakerdeck.com/daisukeinoue/sabajian-shi-sabisu-mackerel-insutoresiyonraibudemo,登壇,合同勉強会 in 大都会岡山 2016 Winter
11,2016/12,http://developer.hatenastaff.com/entry/2016/12/22/150000,LT 発表,Hatena Engineer Seminar #7
10,2016/11,https://speakerdeck.com/daisukeinoue/zi-fen-zi-shen-falsejian-shi-moke-neng-mackerelfalsesahisumetorituku,LT 発表,Open Source Conference Tokyo 2016/Fall
9,2016/10,https://speakerdeck.com/daisukeinoue/mackerel-falsegai-yao-karaxin-ji-neng-to-twilio-lian-xi-falsegoshao-jie,登壇,Twilio ビジネスセミナー Vol.31
8,2016/08,http://developer.hatenastaff.com/entry/2016/09/02/170000,LT 発表,Hatena Engineer Seminar #6
7,2016/06,http://www.slideshare.net/aknow3373/mackerel-standard-63046092,LT 発表,Mackerel User Group Meeting Vol.1
6,2015/12,https://blog.a-know.me/entry/2015/12/05/234436,登壇,合同勉強会 IN 大都会岡山 - 2015 WINTER
5,2015/04,https://blog.a-know.me/entry/2015/04/13/191604,登壇,GCPUG イベント「AWS VS GCP」
4,2014/08,https://blog.a-know.me/entry/2014/08/23/215024,講演・発表,株式会社クレオフーガ 
3,2012/12,https://blog.a-know.me/entry/20121208/1354972898,受賞,ハッカソン優勝
2,2012/07,http://www.slideshare.net/aknow3373/javafx-2x3java,登壇,第3回 岡山 Java ユーザ会 勉強会
1,2012/04,https://blog.a-know.me/entries/2012/04/22,登壇,第13回 中国 GTUG 勉強会 
0,2011/12 etc.,https://blog.a-know.me/entry/20100221/1266761121,掲載,自作アプリケーションの雑誌掲載